Kind,Identifier,Common Facet,Leaf Term
3,1611,"Object, Furnishings, Cushion, Chair Pad",Chair Pad
3,1209,"Object, Furnishings, Daybed",Daybed
3,1199,"Object, Furnishings, Deck Chair",Deck Chair
3,1439,"Object, Furnishings, Decoration",Decoration
3,1440,"Object, Furnishings, Decorative Doll",Decorative Doll
3,1441,"Object, Furnishings, Decorative Doll, Boudoir Doll",Boudoir Doll
3,1436,"Object, Furnishings, Decorative Furnishings",Decorative Furnishings
3,1463,"Object, Furnishings, Decorative Urn",Decorative Urn
3,1280,"Object, Furnishings, Desk",Desk
3,1281,"Object, Furnishings, Desk, Campaign Desk",Campaign Desk
3,1282,"Object, Furnishings, Desk, Computer Desk",Computer Desk
3,1283,"Object, Furnishings, Desk, Drop-Front Desk",Drop-Front Desk
3,1284,"Object, Furnishings, Desk, Drop-Front Desk, Slant-Top Desk",Slant-Top Desk
3,1285,"Object, Furnishings, Desk, Drop-Front Desk, Vargueño",Vargueño
3,1286,"Object, Furnishings, Desk, Kneehole Desk",Kneehole Desk
3,1287,"Object, Furnishings, Desk, Partner's Desk",Partner's Desk
3,1288,"Object, Furnishings, Desk, Quarter-Cylinder Desk",Quarter-Cylinder Desk
3,1289,"Object, Furnishings, Desk, Rolltop Desk",Rolltop Desk
3,1290,"Object, Furnishings, Desk, School Desk",School Desk
3,1294,"Object, Furnishings, Desk, Secretary",Secretary
3,1291,"Object, Furnishings, Desk, Standing Desk",Standing Desk
3,1292,"Object, Furnishings, Desk, Tambour Desk",Tambour Desk
3,1293,"Object, Furnishings, Desk, Writing Desk",Writing Desk
3,1295,"Object, Furnishings, Desk, Writing Table",Writing Table
3,1296,"Object, Furnishings, Desk, Writing Table, Library Table",Library Table
3,1776,"Object, Furnishings, Dimmer",Dimmer
3,1065,"Object, Furnishings, Dining Suite",Dining Suite
3,1437,"Object, Furnishings, Display Armor",Display Armor
3,1145,"Object, Furnishings, Divan",Divan
3,1479,"Object, Furnishings, Doily",Doily
3,1630,"Object, Furnishings, Doorstop",Doorstop
3,1777,"Object, Furnishings, Douter",Douter
3,1641,"Object, Furnishings, Drain Plug",Drain Plug
3,1529,"Object, Furnishings, Drawer Caddy",Drawer Caddy
3,1657,"Object, Furnishings, Droplight",Droplight
3,1312,"Object, Furnishings, Easel",Easel
3,1825,"Object, Furnishings, Electric Fan",Electric Fan
3,1826,"Object, Furnishings, Electric Fan, Ceiling Fan",Ceiling Fan
3,1719,"Object, Furnishings, Emergency Light",Emergency Light
3,1806,"Object, Furnishings, Fire Bow",Fire Bow
3,1882,"Object, Furnishings, Fire Fan",Fire Fan
3,1805,"Object, Furnishings, Firemaking Block",Firemaking Block
3,1807,"Object, Furnishings, Firemaking Drill",Firemaking Drill
3,1804,"Object, Furnishings, Firemaking Equipment",Firemaking Equipment
3,1847,"Object, Furnishings, Fireplace Accessory",Fireplace Accessory
3,1848,"Object, Furnishings, Fireplace Accessory, Andiron",Andiron
3,1852,"Object, Furnishings, Fireplace Accessory, Curfew",Curfew
3,1851,"Object, Furnishings, Fireplace Accessory, Ember Carrier",Ember Carrier
3,1853,"Object, Furnishings, Fireplace Accessory, Fender",Fender
3,1859,"Object, Furnishings, Fireplace Accessory, Fire Screen",Fire Screen
3,1860,"Object, Furnishings, Fireplace Accessory, Fire Screen, Pole Screen",Pole Screen
3,1850,"Object, Furnishings, Fireplace Accessory, Fireplace Broom",Fireplace Broom
3,1855,"Object, Furnishings, Fireplace Accessory, Fireplace Fork",Fireplace Fork
3,1856,"Object, Furnishings, Fireplace Accessory, Fireplace Grate",Fireplace Grate
3,1857,"Object, Furnishings, Fireplace Accessory, Fireplace Insert",Fireplace Insert
3,1858,"Object, Furnishings, Fireplace Accessory, Fireplace Rake",Fireplace Rake
3,1861,"Object, Furnishings, Fireplace Accessory, Fireplace Shovel",Fireplace Shovel
3,1863,"Object, Furnishings, Fireplace Accessory, Fireplace Tongs",Fireplace Tongs
3,1854,"Object, Furnishings, Fireplace Accessory, Fireset",Fireset
3,1849,"Object, Furnishings, Fireplace Accessory, Fireset Bracket",Fireset Bracket
3,1862,"Object, Furnishings, Fireplace Accessory, Fireset Stand",Fireset Stand
3,1808,"Object, Furnishings, Firesteel",Firesteel
3,1669,"Object, Furnishings, Flashlight",Flashlight
3,1809,"Object, Furnishings, Flint",Flint
3,1670,"Object, Furnishings, Floodlight",Floodlight
3,1031,"Object, Furnishings, Floor Coverings",Floor Coverings
3,1059,"Object, Furnishings, Floor Runner",Floor Runner
3,1060,"Object, Furnishings, Floor Runner, Stair Cover",Stair Cover
3,1315,"Object, Furnishings, Floor Stand",Floor Stand
3,1320,"Object, Furnishings, Floor Stand, Basket Stand",Basket Stand
3,1321,"Object, Furnishings, Floor Stand, Birdcage Stand",Birdcage Stand
3,1316,"Object, Furnishings, Floor Stand, Bookstand",Bookstand
3,1322,"Object, Furnishings, Floor Stand, Cabinet Stand",Cabinet Stand
3,1323,"Object, Furnishings, Floor Stand, Card Stand",Card Stand
3,1341,"Object, Furnishings, Floor Stand, Coat Tree",Coat Tree
3,1324,"Object, Furnishings, Floor Stand, Dressing Stand",Dressing Stand
3,1325,"Object, Furnishings, Floor Stand, Drinking Stand",Drinking Stand
3,1326,"Object, Furnishings, Floor Stand, Globe Stand",Globe Stand
3,1317,"Object, Furnishings, Floor Stand, Hallstand",Hallstand
3,1327,"Object, Furnishings, Floor Stand, Hat Stand",Hat Stand
3,1318,"Object, Furnishings, Floor Stand, Lectern",Lectern
3,1328,"Object, Furnishings, Floor Stand, Map Stand",Map Stand
3,1329,"Object, Furnishings, Floor Stand, Muffin Stand",Muffin Stand
3,1330,"Object, Furnishings, Floor Stand, Pedestal Stand",Pedestal Stand
3,1331,"Object, Furnishings, Floor Stand, Plant Stand",Plant Stand
3,1319,"Object, Furnishings, Floor Stand, Podium",Podium
3,1332,"Object, Furnishings, Floor Stand, Portfolio Stand",Portfolio Stand
3,1333,"Object, Furnishings, Floor Stand, Printer Stand",Printer Stand
3,1334,"Object, Furnishings, Floor Stand, Shaving Stand",Shaving Stand
3,1335,"Object, Furnishings, Floor Stand, Television Stand",Television Stand
3,1336,"Object, Furnishings, Floor Stand, Tiered Stand",Tiered Stand
3,1337,"Object, Furnishings, Floor Stand, Towel Stand",Towel Stand
3,1338,"Object, Furnishings, Floor Stand, Tray Stand",Tray Stand
3,1342,"Object, Furnishings, Floor Stand, Tripod",Tripod
3,1339,"Object, Furnishings, Floor Stand, Typewriter Stand",Typewriter Stand
3,1340,"Object, Furnishings, Floor Stand, Umbrella Stand",Umbrella Stand
3,1343,"Object, Furnishings, Floor Stand, Valet",Valet
3,1344,"Object, Furnishings, Floor Stand, Washstand",Washstand
3,1345,"Object, Furnishings, Floor Stand, Washstand, Basin Stand",Basin Stand
3,1032,"Object, Furnishings, Floorcloth",Floorcloth
3,1033,"Object, Furnishings, Floorcloth, Crumbcloth",Crumbcloth
3,1034,"Object, Furnishings, Floorcloth, Drugget",Drugget
3,1495,"Object, Furnishings, Flower Basket",Flower Basket
3,1498,"Object, Furnishings, Flower Bowl",Flower Bowl
3,1501,"Object, Furnishings, Flower Frog",Flower Frog
3,1507,"Object, Furnishings, Flowerpot Saucer",Flowerpot Saucer
3,1607,"Object, Furnishings, Flue Cover",Flue Cover
3,1624,"Object, Furnishings, Fragrance Dispenser",Fragrance Dispenser
3,1628,"Object, Furnishings, Fragrance Dispenser, Air Freshener",Air Freshener
3,1627,"Object, Furnishings, Fragrance Dispenser, Cassolette",Cassolette
3,1626,"Object, Furnishings, Fragrance Dispenser, Incense Burner",Incense Burner
3,1625,"Object, Furnishings, Fragrance Dispenser, Potpourri Bowl",Potpourri Bowl
3,1629,"Object, Furnishings, Fragrance Dispenser, Potpourri Jar",Potpourri Jar
3,1635,"Object, Furnishings, Fragrance Material",Fragrance Material
3,1636,"Object, Furnishings, Fragrance Material, Incense",Incense
3,1637,"Object, Furnishings, Fragrance Material, Incense, Incense Stick",Incense Stick
3,1638,"Object, Furnishings, Fragrance Material, Potpourri",Potpourri
3,1533,"Object, Furnishings, Frame",Frame
3,1534,"Object, Furnishings, Frame, Mirror Frame",Mirror Frame
3,1535,"Object, Furnishings, Frame, Picture Frame",Picture Frame
3,1876,"Object, Furnishings, Fuel Container",Fuel Container
3,1877,"Object, Furnishings, Fuel Container, Coal Bin",Coal Bin
3,1878,"Object, Furnishings, Fuel Container, Coal Hod",Coal Hod
3,1879,"Object, Furnishings, Fuel Container, Oil Tank",Oil Tank
3,1880,"Object, Furnishings, Fuel Container, Tinderbox",Tinderbox
3,1881,"Object, Furnishings, Fuel Container, Woodbin",Woodbin
3,1866,"Object, Furnishings, Furnace Cleaner",Furnace Cleaner
3,1466,"Object, Furnishings, Furnishing Cover",Furnishing Cover
3,1468,"Object, Furnishings, Furnishing Cover, Chair Arm Cover",Chair Arm Cover
3,1469,"Object, Furnishings, Furnishing Cover, Chair Seat Cover",Chair Seat Cover
3,1470,"Object, Furnishings, Furnishing Cover, Cushion Cover",Cushion Cover
3,1471,"Object, Furnishings, Furnishing Cover, Desk Cover",Desk Cover
3,1472,"Object, Furnishings, Furnishing Cover, Dust Cover",Dust Cover
3,1473,"Object, Furnishings, Furnishing Cover, Grill Cover",Grill Cover
3,1474,"Object, Furnishings, Furnishing Cover, Lamp Cover",Lamp Cover
3,1478,"Object, Furnishings, Furnishing Cover, Slipcover",Slipcover
3,1475,"Object, Furnishings, Furnishing Cover, Stool Cover",Stool Cover
3,1467,"Object, Furnishings, Furnishing Cover, Table Carpet",Table Carpet
3,1476,"Object, Furnishings, Furnishing Cover, Throw Pillow Cover",Throw Pillow Cover
3,1477,"Object, Furnishings, Furnishing Cover, Toilet Seat Cover",Toilet Seat Cover
3,1462,"Object, Furnishings, Furnishing Trim",Furnishing Trim
3,1464,"Object, Furnishings, Furniture Coverings",Furniture Coverings
3,1481,"Object, Furnishings, Furniture Mat",Furniture Mat
3,1482,"Object, Furnishings, Furniture Mat, Table Mat",Table Mat
3,1458,"Object, Furnishings, Furniture Ornament",Furniture Ornament
3,1639,"Object, Furnishings, Furniture Pad",Furniture Pad
3,1483,"Object, Furnishings, Furniture Runner",Furniture Runner
3,1484,"Object, Furnishings, Furniture Runner, Table Runner",Table Runner
3,1485,"Object, Furnishings, Furniture Scarf",Furniture Scarf
3,1486,"Object, Furnishings, Furniture Scarf, Bureau Scarf",Bureau Scarf
3,1487,"Object, Furnishings, Furniture Scarf, Piano Scarf",Piano Scarf
3,1488,"Object, Furnishings, Furniture Scarf, Table Scarf",Table Scarf
3,1063,"Object, Furnishings, Furniture Sets",Furniture Sets
3,1210,"Object, Furnishings, Futon Frame",Futon Frame
3,1496,"Object, Furnishings, Garden Bell",Garden Bell
3,1066,"Object, Furnishings, Garden Suite",Garden Suite
3,1784,"Object, Furnishings, Grisett",Grisett
3,997,"Object, Furnishings, Ground Cloth",Ground Cloth
3,1067,"Object, Furnishings, Hall Suite",Hall Suite
3,1211,"Object, Furnishings, Hammock",Hammock
3,1536,"Object, Furnishings, Hanger",Hanger
3,1537,"Object, Furnishings, Hanger, Picture Hanger",Picture Hanger
3,1538,"Object, Furnishings, Hanger, Plant Hanger",Plant Hanger
3,1539,"Object, Furnishings, Hanger, Plate Hanger",Plate Hanger
3,1011,"Object, Furnishings, Headrest",Headrest
3,1838,"Object, Furnishings, Heat Lamp",Heat Lamp
3,1827,"Object, Furnishings, Heater",Heater
3,1828,"Object, Furnishings, Heater, Alcohol Heater",Alcohol Heater
3,1829,"Object, Furnishings, Heater, Coal Heater",Coal Heater
3,1830,"Object, Furnishings, Heater, Electric Heater",Electric Heater
3,1831,"Object, Furnishings, Heater, Electric Heater, Fan Heater",Fan Heater
3,1832,"Object, Furnishings, Heater, Electric Heater, Lamp Heater",Lamp Heater
3,1833,"Object, Furnishings, Heater, Gas Heater",Gas Heater
3,1834,"Object, Furnishings, Heater, Kerosene Heater",Kerosene Heater
3,1835,"Object, Furnishings, Heater, Oil Heater",Oil Heater
3,1836,"Object, Furnishings, Heater, Radiant Heater",Radiant Heater
3,1837,"Object, Furnishings, Heater, Wood Heater",Wood Heater
3,1823,"Object, Furnishings, Heating & Cooling Equipment",Heating & Cooling Equipment
3,1846,"Object, Furnishings, Heating Equipment Accessories",Heating Equipment Accessories
3,1840,"Object, Furnishings, Heating Stove",Heating Stove
3,1841,"Object, Furnishings, Heating Stove, Charcoal Heating Stove",Charcoal Heating Stove
3,1842,"Object, Furnishings, Heating Stove, Coal Heating Stove",Coal Heating Stove
3,1843,"Object, Furnishings, Heating Stove, Oil Heating Stove",Oil Heating Stove
3,1844,"Object, Furnishings, Heating Stove, Pellet Stove",Pellet Stove
3,1845,"Object, Furnishings, Heating Stove, Wood Heating Stove",Wood Heating Stove
3,1540,"Object, Furnishings, Holder",Holder
3,1542,"Object, Furnishings, Holder, Bottle Holder",Bottle Holder
3,1549,"Object, Furnishings, Holder, Diaper Stacker",Diaper Stacker
3,1543,"Object, Furnishings, Holder, Match Holder",Match Holder
3,1544,"Object, Furnishings, Holder, Scarf Holder",Scarf Holder
3,1545,"Object, Furnishings, Holder, Shoe Holder",Shoe Holder
3,1546,"Object, Furnishings, Holder, Spill Holder",Spill Holder
3,1547,"Object, Furnishings, Holder, Toilet Paper Holder",Toilet Paper Holder
3,1541,"Object, Furnishings, Holder, Towel Bar",Towel Bar
3,1548,"Object, Furnishings, Holder, Watch Holder",Watch Holder
3,1494,"Object, Furnishings, Horticultural Containers",Horticultural Containers
3,1513,"Object, Furnishings, Household Basket",Household Basket
3,1514,"Object, Furnishings, Household Basket, Hanging Basket",Hanging Basket
3,1516,"Object, Furnishings, Household Box",Household Box
3,1517,"Object, Furnishings, Household Box, Bible Box",Bible Box
3,1518,"Object, Furnishings, Household Box, Candle Box",Candle Box
3,1519,"Object, Furnishings, Household Box, Dresser Box",Dresser Box
3,1520,"Object, Furnishings, Household Box, Incense Box",Incense Box
3,1521,"Object, Furnishings, Household Box, Letter Box",Letter Box
3,1526,"Object, Furnishings, Household Box, Medicine Chest",Medicine Chest
3,1522,"Object, Furnishings, Household Box, Missal Box",Missal Box
3,1523,"Object, Furnishings, Household Box, Presentation Box",Presentation Box
3,1524,"Object, Furnishings, Household Box, Recipe Box",Recipe Box
3,1527,"Object, Furnishings, Household Box, Silver Chest",Silver Chest
3,1528,"Object, Furnishings, Household Box, Strongbox",Strongbox
3,1525,"Object, Furnishings, Household Box, Wall Box",Wall Box
3,1550,"Object, Furnishings, Household Hook",Household Hook
3,1551,"Object, Furnishings, Household Hook, Ceiling Hook",Ceiling Hook
3,1552,"Object, Furnishings, Household Hook, Wall Hook",Wall Hook
3,1553,"Object, Furnishings, Household Hook, Wall Hook, Coat Hook",Coat Hook
3,1554,"Object, Furnishings, Household Hook, Wall Hook, Picture Hook",Picture Hook
3,1555,"Object, Furnishings, Household Hook, Wall Hook, Towel Hook",Towel Hook
3,1556,"Object, Furnishings, Household Hook, Wall Hook, Wardrobe Hook",Wardrobe Hook
3,1594,"Object, Furnishings, Household Tray",Household Tray
3,1596,"Object, Furnishings, Household Tray, Candlesnuffer Tray",Candlesnuffer Tray
3,1595,"Object, Furnishings, Household Tray, Card Receiver",Card Receiver
3,1597,"Object, Furnishings, Household Tray, Dresser Tray",Dresser Tray
3,1782,"Object, Furnishings, Hurricane Glass",Hurricane Glass
3,1298,"Object, Furnishings, Hutch",Hutch
3,1930,"Object, Furnishings, Interior Shutter",Interior Shutter
3,1671,"Object, Furnishings, Jacklight",Jacklight
3,1515,"Object, Furnishings, Key Board",Key Board
3,1811,"Object, Furnishings, Kindling",Kindling
3,1812,"Object, Furnishings, Kindling, Charcoal",Charcoal
3,1813,"Object, Furnishings, Kindling, Kindling Wood",Kindling Wood
3,1449,"Object, Furnishings, Knickknack",Knickknack
3,1450,"Object, Furnishings, Knickknack, Decorative Bowl",Decorative Bowl
3,1453,"Object, Furnishings, Knickknack, Decorative Mug",Decorative Mug
3,1454,"Object, Furnishings, Knickknack, Decorative Plate",Decorative Plate
3,1452,"Object, Furnishings, Knickknack, Half-Figure",Half-Figure
3,1451,"Object, Furnishings, Knickknack, Snow Globe",Snow Globe
3,1633,"Object, Furnishings, Ladder",Ladder
3,1634,"Object, Furnishings, Ladder, Stepladder",Stepladder
3,1480,"Object, Furnishings, Lambrequin",Lambrequin
3,1672,"Object, Furnishings, Lamp",Lamp
3,1766,"Object, Furnishings, Lamp Burner",Lamp Burner
3,1773,"Object, Furnishings, Lamp Chimney",Lamp Chimney
3,1775,"Object, Furnishings, Lamp Counterweight",Lamp Counterweight
3,1779,"Object, Furnishings, Lamp Filler",Lamp Filler
3,1780,"Object, Furnishings, Lamp Finial",Lamp Finial
3,1783,"Object, Furnishings, Lamp Globe",Lamp Globe
3,1785,"Object, Furnishings, Lamp Harp",Lamp Harp
3,1748,"Object, Furnishings, Lamp Holder",Lamp Holder
3,1788,"Object, Furnishings, Lamp Mantle",Lamp Mantle
3,1673,"Object, Furnishings, Lamp, Burning Fluid Lamp",Burning Fluid Lamp
3,1674,"Object, Furnishings, Lamp, Camphene Lamp",Camphene Lamp
3,1675,"Object, Furnishings, Lamp, Candle Lamp",Candle Lamp
3,1676,"Object, Furnishings, Lamp, Candle Lamp, Fairy Lamp",Fairy Lamp
3,1677,"Object, Furnishings, Lamp, Carbide Lamp",Carbide Lamp
3,1678,"Object, Furnishings, Lamp, Desk Lamp",Desk Lamp
3,1679,"Object, Furnishings, Lamp, Electric Lamp",Electric Lamp
3,1680,"Object, Furnishings, Lamp, Electric Lamp, Battery Operated Lamp",Battery Operated Lamp
3,1681,"Object, Furnishings, Lamp, Floor Lamp",Floor Lamp
3,1682,"Object, Furnishings, Lamp, Gas Lamp",Gas Lamp
3,1683,"Object, Furnishings, Lamp, Gasoline Lamp",Gasoline Lamp
3,1684,"Object, Furnishings, Lamp, Kerosene Lamp",Kerosene Lamp
3,1685,"Object, Furnishings, Lamp, Kerosene Lamp, Banquet Lamp",Banquet Lamp
3,1710,"Object, Furnishings, Lamp, Lampion",Lampion
3,1686,"Object, Furnishings, Lamp, Mantel Lamp",Mantel Lamp
3,1687,"Object, Furnishings, Lamp, Oil Lamp",Oil Lamp
3,1688,"Object, Furnishings, Lamp, Oil Lamp, Argand Lamp",Argand Lamp
3,1689,"Object, Furnishings, Lamp, Oil Lamp, Astral Lamp",Astral Lamp
3,1690,"Object, Furnishings, Lamp, Oil Lamp, Carcel Lamp",Carcel Lamp
3,1691,"Object, Furnishings, Lamp, Oil Lamp, Hitchcock Lamp",Hitchcock Lamp
3,1692,"Object, Furnishings, Lamp, Oil Lamp, Moderator Lamp",Moderator Lamp
3,1693,"Object, Furnishings, Lamp, Oil Lamp, Rumford Lamp",Rumford Lamp
3,1694,"Object, Furnishings, Lamp, Oil Lamp, Wanzer Lamp",Wanzer Lamp
3,1695,"Object, Furnishings, Lamp, Pole Lamp",Pole Lamp
3,1696,"Object, Furnishings, Lamp, Reflector Lamp",Reflector Lamp
3,1697,"Object, Furnishings, Lamp, Safety Lamp",Safety Lamp
3,1698,"Object, Furnishings, Lamp, Safety Lamp, Davy Lamp",Davy Lamp
3,1699,"Object, Furnishings, Lamp, Safety Lamp, Stephenson Lamp",Stephenson Lamp
3,1700,"Object, Furnishings, Lamp, Semiliquid Lamp",Semiliquid Lamp
3,1701,"Object, Furnishings, Lamp, Semiliquid Lamp, Betty Lamp",Betty Lamp
3,1702,"Object, Furnishings, Lamp, Semiliquid Lamp, Crusie Lamp",Crusie Lamp
3,1703,"Object, Furnishings, Lamp, Semiliquid Lamp, Grease Lamp",Grease Lamp
3,1704,"Object, Furnishings, Lamp, Semiliquid Lamp, Lard Lamp",Lard Lamp
3,1705,"Object, Furnishings, Lamp, Spark Lamp",Spark Lamp
3,1706,"Object, Furnishings, Lamp, Spirit Lamp",Spirit Lamp
3,1707,"Object, Furnishings, Lamp, Spout Lamp",Spout Lamp
3,1708,"Object, Furnishings, Lamp, Student Lamp",Student Lamp
3,1709,"Object, Furnishings, Lamp, Table Lamp",Table Lamp
3,1790,"Object, Furnishings, Lamplighter Pole",Lamplighter Pole
3,1711,"Object, Furnishings, Lantern",Lantern
3,1712,"Object, Furnishings, Lantern, Candle Lantern",Candle Lantern
3,1713,"Object, Furnishings, Lantern, Carbide Lantern",Carbide Lantern
3,1714,"Object, Furnishings, Lantern, Dark Lantern",Dark Lantern
3,1715,"Object, Furnishings, Lantern, Electric Lantern",Electric Lantern
3,1716,"Object, Furnishings, Lantern, Gasoline Lantern",Gasoline Lantern
3,1717,"Object, Furnishings, Lantern, Kerosene Lantern",Kerosene Lantern
3,1718,"Object, Furnishings, Lantern, Oil Lantern",Oil Lantern
3,1455,"Object, Furnishings, Lava Lamp",Lava Lamp
3,1068,"Object, Furnishings, Library Suite",Library Suite
3,1757,"Object, Furnishings, Light Bulb",Light Bulb
3,1758,"Object, Furnishings, Light Bulb, Black Light Bulb",Black Light Bulb
3,1759,"Object, Furnishings, Light Bulb, Fluorescent Bulb",Fluorescent Bulb
3,1765,"Object, Furnishings, Light Bulb, Fluorescent Tube",Fluorescent Tube
3,1760,"Object, Furnishings, Light Bulb, Halogen Bulb",Halogen Bulb
3,1761,"Object, Furnishings, Light Bulb, Incandescent Bulb",Incandescent Bulb
3,1764,"Object, Furnishings, Light Bulb, Light-Emitting Diode",Light-Emitting Diode
3,1762,"Object, Furnishings, Light Bulb, Neon Bulb",Neon Bulb
3,1763,"Object, Furnishings, Light Bulb, Ultraviolet Bulb",Ultraviolet Bulb
3,1728,"Object, Furnishings, Light Projector",Light Projector
3,1800,"Object, Furnishings, Light Timer",Light Timer
3,1774,"Object, Furnishings, Lighting Console",Lighting Console
3,1655,"Object, Furnishings, Lighting Devices",Lighting Devices
3,1658,"Object, Furnishings, Lighting Fixture",Lighting Fixture
3,1659,"Object, Furnishings, Lighting Fixture, Ceiling Fixture",Ceiling Fixture
3,1660,"Object, Furnishings, Lighting Fixture, Ceiling Fixture, Chandelier",Chandelier
3,1661,"Object, Furnishings, Lighting Fixture, Ceiling Fixture, Pendant Light",Pendant Light
3,1662,"Object, Furnishings, Lighting Fixture, Ceiling Fixture, Recessed Light",Recessed Light
3,1663,"Object, Furnishings, Lighting Fixture, Ceiling Fixture, Track Light",Track Light
3,1664,"Object, Furnishings, Lighting Fixture, Combination Fixture",Combination Fixture
3,1665,"Object, Furnishings, Lighting Fixture, Electric Fixture",Electric Fixture
3,1666,"Object, Furnishings, Lighting Fixture, Gas Fixture",Gas Fixture
3,1667,"Object, Furnishings, Lighting Fixture, Wall Fixture",Wall Fixture
3,1668,"Object, Furnishings, Lighting Fixture, Wall Fixture, Sconce",Sconce
3,1734,"Object, Furnishings, Lighting Holders",Lighting Holders
3,1794,"Object, Furnishings, Lighting Shade",Lighting Shade
3,1797,"Object, Furnishings, Lighting Shade, Candle Shade",Candle Shade
3,1795,"Object, Furnishings, Lighting Shade, Lampshade",Lampshade
3,1796,"Object, Furnishings, Lighting Shade, Lampshade, Paper Lantern",Paper Lantern
3,1798,"Object, Furnishings, Lighting Shade, Smoke Shade",Smoke Shade
3,1799,"Object, Furnishings, Lighting Splint",Lighting Splint
3,1786,"Object, Furnishings, Lightstick",Lightstick
3,1456,"Object, Furnishings, Lithophane",Lithophane
3,1299,"Object, Furnishings, Locker",Locker
3,1865,"Object, Furnishings, Log Carrier",Log Carrier
3,1212,"Object, Furnishings, Lounge",Lounge
3,1787,"Object, Furnishings, Luster",Luster
3,1214,"Object, Furnishings, Massage Table",Massage Table
3,1035,"Object, Furnishings, Mat",Mat
3,1037,"Object, Furnishings, Mat, Bath Mat",Bath Mat
3,1038,"Object, Furnishings, Mat, Chair Mat",Chair Mat
3,1036,"Object, Furnishings, Mat, Doormat",Doormat
3,1039,"Object, Furnishings, Mat, Tatami",Tatami
3,1814,"Object, Furnishings, Match",Match
3,1587,"Object, Furnishings, Match Safe",Match Safe
3,1819,"Object, Furnishings, Match Striker",Match Striker
3,1815,"Object, Furnishings, Matchbook",Matchbook
3,1816,"Object, Furnishings, Matchbox",Matchbox
3,1014,"Object, Furnishings, Mattress",Mattress
3,1016,"Object, Furnishings, Mattress, Air Mattress",Air Mattress
3,1017,"Object, Furnishings, Mattress, Feather Mattress",Feather Mattress
3,1018,"Object, Furnishings, Mattress, Foam Mattress",Foam Mattress
3,1015,"Object, Furnishings, Mattress, Futon",Futon
3,1019,"Object, Furnishings, Mattress, Horsehair Mattress",Horsehair Mattress
3,1020,"Object, Furnishings, Mattress, Spring Mattress",Spring Mattress
3,1403,"Object, Furnishings, Mirror",Mirror
3,1404,"Object, Furnishings, Mirror, Cheval Mirror",Cheval Mirror
3,1405,"Object, Furnishings, Mirror, Cheval Mirror, Dressing Glass",Dressing Glass
3,1406,"Object, Furnishings, Mirror, Curved Mirror",Curved Mirror
3,1407,"Object, Furnishings, Mirror, Dresser Mirror",Dresser Mirror
3,1408,"Object, Furnishings, Mirror, Wall Mirror",Wall Mirror
3,1410,"Object, Furnishings, Mirror, Wall Mirror, Architectural Mirror",Architectural Mirror
3,1411,"Object, Furnishings, Mirror, Wall Mirror, Girandole Mirror",Girandole Mirror
3,1412,"Object, Furnishings, Mirror, Wall Mirror, Hall Mirror",Hall Mirror
3,1413,"Object, Furnishings, Mirror, Wall Mirror, Mantel Mirror",Mantel Mirror
3,1409,"Object, Furnishings, Mirror, Wall Mirror, Pier Glass",Pier Glass
3,1147,"Object, Furnishings, Méridienne",Méridienne
3,1720,"Object, Furnishings, Night Light",Night Light
3,1069,"Object, Furnishings, Nursery Suite",Nursery Suite
3,1402,"Object, Furnishings, Other Furniture",Other Furniture
3,1598,"Object, Furnishings, Other Household Accessories",Other Household Accessories
3,1755,"Object, Furnishings, Other Lighting Accessories",Other Lighting Accessories
3,1721,"Object, Furnishings, Outdoor Light",Outdoor Light
3,1722,"Object, Furnishings, Outdoor Light, Bollard Light",Bollard Light
3,1723,"Object, Furnishings, Outdoor Light, Solar Light",Solar Light
3,1724,"Object, Furnishings, Outdoor Light, Streetlamp",Streetlamp
3,1070,"Object, Furnishings, Parlor Suite",Parlor Suite
3,1643,"Object, Furnishings, Paste Pot",Paste Pot
3,1612,"Object, Furnishings, Pest Control Device",Pest Control Device
3,1623,"Object, Furnishings, Pest Control Device, Bug Zapper",Bug Zapper
3,1614,"Object, Furnishings, Pest Control Device, Fly Swatter",Fly Swatter
3,1613,"Object, Furnishings, Pest Control Device, Flywhisk",Flywhisk
3,1615,"Object, Furnishings, Pest Control Device, Insect Trap",Insect Trap
3,1616,"Object, Furnishings, Pest Control Device, Insect Trap, Fly Catcher",Fly Catcher
3,1617,"Object, Furnishings, Pest Control Device, Insect Trap, Flypaper",Flypaper
3,1618,"Object, Furnishings, Pest Control Device, Insect Trap, Flytrap",Flytrap
3,1619,"Object, Furnishings, Pest Control Device, Insect Trap, Roach Trap",Roach Trap
3,1620,"Object, Furnishings, Pest Control Device, Rodent Trap",Rodent Trap
3,1621,"Object, Furnishings, Pest Control Device, Rodent Trap, Mousetrap",Mousetrap
3,1622,"Object, Furnishings, Pest Control Device, Rodent Trap, Rattrap",Rattrap
3,1632,"Object, Furnishings, Picture Frame Glass",Picture Frame Glass
3,1562,"Object, Furnishings, Picture Nail",Picture Nail
3,1021,"Object, Furnishings, Pillow",Pillow
3,1022,"Object, Furnishings, Pillow, Air Pillow",Air Pillow
3,1023,"Object, Furnishings, Pillow, Body Pillow",Body Pillow
3,1024,"Object, Furnishings, Pillow, Feather Pillow",Feather Pillow
3,1025,"Object, Furnishings, Pillow, Foam Pillow",Foam Pillow
3,1026,"Object, Furnishings, Pillowcase",Pillowcase
3,1434,"Object, Furnishings, Pipe Cleaner Holder",Pipe Cleaner Holder
