Kind,Identifier,Common Facet,Leaf Term
1,13763,"Document, Identification Plate, Builder's Plate",Builder's Plate
1,13762,"Document, Identification Plate, Date Plaque",Date Plaque
1,13760,"Document, Identification Plate, Fire Mark",Fire Mark
1,13761,"Document, Identification Plate, Nameplate",Nameplate
1,13764,"Document, Identification Plate, Number Plate",Number Plate
1,13486,"Document, Instructional, Catechism",Catechism
1,13488,"Document, Instructional, Copybook",Copybook
1,13489,"Document, Instructional, Examination",Examination
1,13491,"Document, Instructional, Grammar",Grammar
1,13483,"Document, Instructional, Instruction Book",Instruction Book
1,13484,"Document, Instructional, Instruction Card",Instruction Card
1,13485,"Document, Instructional, Instruction Card, Flash Card",Flash Card
1,13498,"Document, Instructional, Instruction Pamphlet",Instruction Pamphlet
1,13505,"Document, Instructional, Instruction Sheet",Instruction Sheet
1,13487,"Document, Instructional, Instructional Chart",Instructional Chart
1,13481,"Document, Instructional, Instructional Documents",Instructional Documents
1,13499,"Document, Instructional, Instructional Poster",Instructional Poster
1,13493,"Document, Instructional, Learning Kit",Learning Kit
1,13495,"Document, Instructional, Manual",Manual
1,13496,"Document, Instructional, Manual, Employee Manual",Employee Manual
1,13497,"Document, Instructional, Manual, Training Manual",Training Manual
1,13500,"Document, Instructional, Primer",Primer
1,13501,"Document, Instructional, Primer, Hornbook",Hornbook
1,13502,"Document, Instructional, Recipe",Recipe
1,13504,"Document, Instructional, Recipe, Cookbook",Cookbook
1,13503,"Document, Instructional, Recipe, Recipe Card",Recipe Card
1,13490,"Document, Instructional, School Exercise",School Exercise
1,13506,"Document, Instructional, Syllabus",Syllabus
1,13494,"Document, Instructional, Teaching Manikin",Teaching Manikin
1,13507,"Document, Instructional, Textbook",Textbook
1,13482,"Document, Instructional, Visual Aid",Visual Aid
1,13508,"Document, Instructional, Workbook",Workbook
1,13509,"Document, Instructional, Worksheet",Worksheet
1,13704,"Document, Leaf",Leaf
1,13705,"Document, Leaf, Folio",Folio
1,13706,"Document, Leaf, Page",Page
1,13707,"Document, Leaf, Tearsheet",Tearsheet
1,13708,"Document, Leaflet",Leaflet
1,13511,"Document, Legal, Affidavit",Affidavit
1,13512,"Document, Legal, Agreement",Agreement
1,13514,"Document, Legal, Agreement, Contract",Contract
1,13515,"Document, Legal, Agreement, Contract, Lease",Lease
1,13516,"Document, Legal, Agreement, Guaranty",Guaranty
1,13517,"Document, Legal, Agreement, Guaranty, Warranty",Warranty
1,13513,"Document, Legal, Agreement, Legal Bond",Legal Bond
1,13518,"Document, Legal, Agreement, Treaty",Treaty
1,13519,"Document, Legal, Article of Incorporation",Article of Incorporation
1,13521,"Document, Legal, Brief",Brief
1,13522,"Document, Legal, Charter",Charter
1,13523,"Document, Legal, Claim",Claim
1,13520,"Document, Legal, Contract Award",Contract Award
1,13524,"Document, Legal, Discharge",Discharge
1,13525,"Document, Legal, Indenture",Indenture
1,13526,"Document, Legal, Indictment",Indictment
1,13510,"Document, Legal, Legal Documents",Legal Documents
1,13527,"Document, Legal, Muniment",Muniment
1,13528,"Document, Legal, Muniment, Deed",Deed
1,14977,"Document, Legal, Muniment, Land Grant",Land Grant
1,13529,"Document, Legal, Power of Attorney",Power of Attorney
1,13530,"Document, Legal, Testimony",Testimony
1,13531,"Document, Legal, Testimony, Deposition",Deposition
1,13532,"Document, Legal, Testimony, Oath",Oath
1,13533,"Document, Legal, Traffic Ticket",Traffic Ticket
1,13534,"Document, Legal, Will",Will
1,13709,"Document, List",List
1,13715,"Document, List, Attendance List",Attendance List
1,13710,"Document, List, Bibliography",Bibliography
1,13711,"Document, List, Checklist",Checklist
1,13712,"Document, List, Guestbook",Guestbook
1,13713,"Document, List, Index",Index
1,13714,"Document, List, Inventory",Inventory
1,13716,"Document, List, Mailing List",Mailing List
1,13717,"Document, List, Membership List",Membership List
1,13721,"Document, List, Menu",Menu
1,13718,"Document, List, Passenger List",Passenger List
1,13722,"Document, List, Pricelist",Pricelist
1,13723,"Document, List, Register",Register
1,13724,"Document, List, Register, Family Register",Family Register
1,13725,"Document, List, Roster",Roster
1,13719,"Document, List, Subscription List",Subscription List
1,13720,"Document, List, Voters' List",Voters' List
1,13726,"Document, Log",Log
1,13727,"Document, Log, Flight Log",Flight Log
1,13728,"Document, Log, Ship's Log",Ship's Log
1,13311,"Document, Manifesto",Manifesto
1,13729,"Document, Manuscript",Manuscript
1,13730,"Document, Manuscript, Autograph",Autograph
1,13774,"Document, Medical Record",Medical Record
1,13568,"Document, Memorabilia",Memorabilia
1,13569,"Document, Memorabilia, Album",Album
1,13570,"Document, Memorabilia, Album, Autograph Album",Autograph Album
1,13575,"Document, Memorabilia, Album, Baby Book",Baby Book
1,13576,"Document, Memorabilia, Album, Bridal Book",Bridal Book
1,13571,"Document, Memorabilia, Album, Card Album",Card Album
1,13572,"Document, Memorabilia, Album, Photograph Album",Photograph Album
1,13573,"Document, Memorabilia, Album, Postcard Album",Postcard Album
1,13577,"Document, Memorabilia, Album, Scrapbook",Scrapbook
1,13574,"Document, Memorabilia, Album, Stamp Album",Stamp Album
1,13580,"Document, Memorabilia, Commemorative",Commemorative
1,13579,"Document, Memorabilia, Commemorative Case",Commemorative Case
1,13581,"Document, Memorabilia, Commemorative, Commemorative Card",Commemorative Card
1,13582,"Document, Memorabilia, Commemorative, Commemorative Certificate",Commemorative Certificate
1,13583,"Document, Memorabilia, Commemorative, Commemorative Coin",Commemorative Coin
1,13585,"Document, Memorabilia, Commemorative, Commemorative Key",Commemorative Key
1,13586,"Document, Memorabilia, Commemorative, Commemorative Medal",Commemorative Medal
1,13587,"Document, Memorabilia, Commemorative, Commemorative Plate",Commemorative Plate
1,13588,"Document, Memorabilia, Commemorative, Commemorative Ribbon",Commemorative Ribbon
1,13589,"Document, Memorabilia, Commemorative, Commemorative Token",Commemorative Token
1,13584,"Document, Memorabilia, Commemorative, First Day Cover",First Day Cover
1,13590,"Document, Memorabilia, Death Mask",Death Mask
1,13598,"Document, Memorabilia, Hairwork Wreath",Hairwork Wreath
1,13592,"Document, Memorabilia, Historic Relic",Historic Relic
1,13591,"Document, Memorabilia, Memory Quilt",Memory Quilt
1,13593,"Document, Memorabilia, Souvenir",Souvenir
1,13595,"Document, Memorabilia, Souvenir, Death Crown",Death Crown
1,13596,"Document, Memorabilia, Souvenir, Fairing",Fairing
1,13594,"Document, Memorabilia, Souvenir, Souvenir Card",Souvenir Card
